valuvalue,time
2.00,282937
2.00,282940
2.00,282945
2.00,282965
2.00,282993
2.00,283015
2.00,283022
5.00,283069
3.00,283072
2.00,283120
2.00,283130
2.00,283157
2.00,283175
2.00,283177
3.00,283207
2.00,283238
2.00,283317
2.00,283347
2.00,283440
2.00,283448
2.00,283499
2.00,283578
2.00,283821
2.00,283933
2.00,283958
2.00,283974
2.00,284013
2.00,284030
2.00,284091
2.00,284124
2.00,284191
2.00,284210
2.00,284215
2.00,284222
3.00,284249
2.00,284266
2.00,284294
3.00,284312
2.00,284319
2.00,284369
2.00,284415
2.00,284420
2.00,284510
2.00,284555
2.00,284626
2.00,284702
2.00,284708
2.00,284828
2.00,284934
2.00,284952
2.00,284973
2.00,284987
2.00,285008
2.00,285049
2.00,285093
2.00,285150
2.00,285224
2.00,285241
2.00,285273
2.00,285326
2.00,285462
2.00,285599
2.00,285627
2.00,285642
2.00,285645
2.00,285688
2.00,285787
2.00,285825
2.00,285837
2.00,285863
2.00,285877
2.00,285953
2.00,286013
2.00,286073
2.00,286107
2.00,286110
2.00,286140
2.00,286421
2.00,286428
2.00,286500
3.00,286690
3.00,286743
2.00,287172
2.00,287212
3.00,287218
2.00,287312
2.00,291933
2.00,297418
4.00,299656
2.00,300141
2.00,300199
4.00,300565
2.00,300595
2.00,300712
2.00,300720
2.00,300808
3.00,300903
2.00,301066
4.00,301649
2.00,301881
2.00,303404
2.00,303425
2.00,303899
3.00,304168
2.00,304676
2.00,304894
2.00,305262
2.00,305299
2.00,305591
2.00,306087
2.00,306504
2.00,308548
4.00,308700
2.00,309816
2.00,311203
2.00,311671
2.00,311814
2.00,311981
2.00,312046
2.00,312519
3.00,312635
2.00,312671
2.00,312965
2.00,314874
2.00,315558
3.00,315588
2.00,316699
2.00,316777
2.00,317134
2.00,318755
2.00,319088
4.00,320520
2.00,320602
2.00,321814
2.00,333319
2.00,356361
2.00,356386
2.00,356439
2.00,356458
2.00,356465
2.00,356499
2.00,356507
2.00,356534
2.00,356543
2.00,356674
2.00,356678
2.00,356754
2.00,356762
2.00,356846
2.00,356940
2.00,356991
2.00,357036
2.00,357043
2.00,357075
2.00,357092
2.00,357172
2.00,357187
2.00,357297
2.00,357309
3.00,357330
2.00,357356
2.00,357435
2.00,357467
2.00,357518
2.00,357577
2.00,357581
2.00,357592
2.00,357653
2.00,357713
2.00,357720
2.00,357727
2.00,357760
2.00,357769
2.00,357862
2.00,357887
2.00,357891
2.00,357914
2.00,357953
2.00,358343
2.00,358369
2.00,358381
2.00,358408
2.00,358412
2.00,358449
2.00,358492
2.00,358503
2.00,358568
2.00,358632
2.00,358671
2.00,358675
2.00,358731
2.00,358751
2.00,358878
2.00,358893
2.00,358915
3.00,359039
2.00,359087
2.00,359093
2.00,359094
2.00,359097
2.00,359166
2.00,359177
2.00,359178
2.00,359198
2.00,359215
2.00,359248
2.00,359286
2.00,359476
2.00,359485
2.00,359525
2.00,359549
2.00,359589
2.00,359624
2.00,359634
2.00,359662
2.00,359697
2.00,359747
2.00,359797
2.00,359837
2.00,359881
3.00,359952
2.00,359973
2.00,359976
2.00,360054
3.00,360097
2.00,360151
3.00,360172
2.00,360180
2.00,360298
2.00,360374
2.00,360389
2.00,360419
2.00,360508
2.00,360517
3.00,360612
2.00,360628
2.00,360666
2.00,360694
2.00,360705
2.00,360755
2.00,360796
2.00,360798
2.00,360805
2.00,360836
2.00,360860
2.00,360867
2.00,360876
2.00,360936
3.00,361176
2.00,361272
2.00,361322
2.00,361354
2.00,361518
2.00,361530
3.00,361560
2.00,361602
2.00,361700
2.00,361763
2.00,361775
2.00,361859
2.00,361890
2.00,361928
2.00,362016
2.00,362061
3.00,362103
2.00,362125
2.00,362143
2.00,362150
2.00,362227
2.00,362319
2.00,362349
2.00,362360
2.00,362415
2.00,362423
2.00,362451
2.00,362480
2.00,362530
2.00,362591
2.00,362604
2.00,362727
2.00,362741
2.00,362784
2.00,362880
2.00,362909
2.00,363043
2.00,363084
2.00,363133
2.00,363206
2.00,363365
2.00,363409
2.00,363422
2.00,363423
2.00,363441
3.00,363460
2.00,363482
2.00,363500
2.00,363519
2.00,363667
2.00,363874
2.00,364046
2.00,364049
2.00,364056
2.00,364134
2.00,364185
2.00,364251
2.00,364391
2.00,364466
2.00,364492
2.00,364513
2.00,364648
4.00,364852
2.00,364927
2.00,364956
2.00,365047
2.00,365118
2.00,365121
2.00,365166
2.00,365169
2.00,365349
2.00,365354
2.00,365458
2.00,365791
2.00,365830
2.00,365863
2.00,366160
3.00,366635
2.00,367139
2.00,367288
2.00,367362
2.00,367560
2.00,367640
2.00,367651
2.00,367675
2.00,367772
2.00,379313
2.00,379358
2.00,379359
2.00,379389
2.00,379394
2.00,379420
2.00,379432
2.00,379472
2.00,379553
2.00,379571
2.00,379652
2.00,379653
2.00,379656
2.00,379663
2.00,379665
2.00,379674
2.00,379676
2.00,379682
2.00,379689
2.00,379693
2.00,379709
2.00,379741
2.00,379756
2.00,379816
2.00,379842
4.00,379856
2.00,379857
2.00,379862
2.00,379877
2.00,379879
2.00,379911
2.00,379917
2.00,379944
2.00,379949
2.00,379976
2.00,379995
2.00,380004
2.00,380008
2.00,380015
2.00,380079
2.00,380089
2.00,380170
2.00,380203
2.00,380235
2.00,380263
2.00,380268
2.00,380293
2.00,380298
2.00,380304
2.00,380308
2.00,380342
2.00,380346
2.00,380351
2.00,380413
2.00,380421
2.00,380424
2.00,380441
2.00,380452
2.00,380564
2.00,380568
2.00,380603
2.00,380606
2.00,380641
3.00,380667
2.00,380704
2.00,380727
2.00,380733
4.00,380735
2.00,380752
2.00,380768
3.00,380769
2.00,380778
2.00,380789
2.00,380792
2.00,380829
2.00,380852
2.00,380856
2.00,380862
2.00,380888
2.00,380895
2.00,380899
2.00,380904
2.00,380908
2.00,380925
2.00,380929
2.00,380931
2.00,380943
2.00,380954
2.00,380957
2.00,380964
2.00,380977
2.00,380982
3.00,380985
2.00,380996
2.00,380999
2.00,381001
2.00,381038
2.00,381048
2.00,381095
2.00,381099
2.00,381120
2.00,381131
3.00,381155
2.00,381188
2.00,381191
2.00,381217
2.00,381226
2.00,381230
2.00,381237
2.00,381276
2.00,381284
2.00,381294
2.00,381306
2.00,381311
2.00,381337
2.00,381353
2.00,381373
2.00,381399
2.00,381411
2.00,381412
2.00,381425
2.00,381444
2.00,381450
2.00,381451
2.00,381457
2.00,381458
2.00,381462
2.00,381463
2.00,381479
2.00,381480
2.00,381486
2.00,381494
2.00,381509
2.00,381510
2.00,381539
2.00,381540
2.00,381566
2.00,381581
2.00,381623
2.00,381624
2.00,381636
2.00,381637
2.00,381643
2.00,381644
2.00,381654
2.00,381655
2.00,381659
2.00,381660
2.00,381667
2.00,381685
2.00,381691
2.00,381701
2.00,381712
2.00,381733
2.00,381740
2.00,381741
2.00,381755
2.00,381766
2.00,381773
2.00,381799
2.00,381825
2.00,381830
2.00,381842
2.00,381846
2.00,381862
2.00,381866
2.00,381876
2.00,381914
2.00,381917
2.00,381923
2.00,381943
2.00,381966
2.00,381980
2.00,382022
2.00,382041
2.00,382052
3.00,382066
2.00,382074
2.00,382082
2.00,382101
2.00,382104
2.00,382115
2.00,382133
2.00,382142
2.00,382146
2.00,382195
2.00,382205
2.00,382215
2.00,382232
2.00,382236
2.00,382241
2.00,382250
2.00,382258
2.00,382272
2.00,382279
2.00,382289
2.00,382290
2.00,382323
2.00,382352
2.00,382355
